generation;individualId;numIters;numFactors;regularization;learningRate;cumulativeMAE;cumulativeCoverage
7;82;219;194;0.328088931494909;0.043073008318449374;0.27922596484172885;0.2809764272962437
7;83;121;195;0.04279084975107677;0.024484536652798504;0.23723674532754777;0.5465400225889897
7;84;219;194;0.328088931494909;0.043073008318449374;0.27922596484172885;0.2809764272962437
7;85;227;117;0.07057196617927074;0.03736485917688014;0.25109370560080835;0.49902342696833896
7;86;227;117;0.07057196617927074;0.03736485917688014;0.25109370560080835;0.49902342696833896
7;87;219;194;0.328088931494909;0.043073008318449374;0.27922596484172885;0.2809764272962437
7;88;121;195;0.04279084975107677;0.024484536652798504;0.23723674532754777;0.5465400225889897
7;89;121;195;0.04279084975107677;0.024484536652798504;0.23723674532754777;0.5465400225889897
7;90;121;195;0.04279084975107677;0.024484536652798504;0.23723674532754777;0.5465400225889897
7;91;253;148;0.08220028486928649;0.038069187940203975;0.25434005274092997;0.4829203920282727
7;92;121;195;0.04279084975107677;0.024484536652798504;0.23723674532754777;0.5465400225889897
7;93;227;117;0.07057196617927074;0.03736485917688014;0.25109370560080835;0.49902342696833896
7;94;253;148;0.08220028486928649;0.038069187940203975;0.25434005274092997;0.4829203920282727
7;95;227;117;0.07057196617927074;0.03736485917688014;0.25109370560080835;0.49902342696833896
7;96;227;117;0.07057196617927074;0.03736485917688014;0.25109370560080835;0.49902342696833896
7;97;121;195;0.04279084975107677;0.024484536652798504;0.23723674532754777;0.5465400225889897
7;98;121;195;0.04279084975107677;0.024484536652798504;0.23723674532754777;0.5465400225889897
7;99;253;148;0.08220028486928649;0.038069187940203975;0.25434005274092997;0.4829203920282727
8;0;121;195;0.04279084975107677;0.024484536652798504;0.23723674532754777;0.5465400225889897
8;1;219;194;0.328088931494909;0.043073008318449374;0.27922596484172885;0.2809764272962437
8;2;219;194;0.328088931494909;0.043073008318449374;0.27922596484172885;0.2809764272962437
8;3;121;195;0.04279084975107677;0.024484536652798504;0.23723674532754777;0.5465400225889897
8;4;257;144;0.1601233857309376;0.024553663185640482;0.26570180809631394;0.3989425438117098
8;5;276;132;0.2748248390258407;0.0315940278346822;0.27120642081368895;0.32727380041534593
8;6;257;144;0.1601233857309376;0.024553663185640482;0.26570180809631394;0.3989425438117098
8;7;253;148;0.08220028486928649;0.038069187940203975;0.25434005274092997;0.4829203920282727
8;8;276;132;0.2748248390258407;0.0315940278346822;0.27120642081368895;0.32727380041534593
8;9;227;117;0.07057196617927074;0.03736485917688014;0.25109370560080835;0.49902342696833896
8;10;227;117;0.07057196617927074;0.03736485917688014;0.25109370560080835;0.49902342696833896
8;11;253;148;0.08220028486928649;0.038069187940203975;0.25434005274092997;0.4829203920282727
8;12;219;194;0.328088931494909;0.043073008318449374;0.27922596484172885;0.2809764272962437
8;13;227;117;0.07057196617927074;0.03736485917688014;0.25109370560080835;0.49902342696833896
